id,DIC
3,2109.2986139071486
14,2124.1259776957145
15,2252.82980059457
21,2251.1961284866493
22,2257.8248895053184
27,2004.3233304739686
30,2244.5042227085482
33,2200.8863510627993
43,2011.68019248251
47,2342.2048091507872
50,2237.8741186996967
53,2211.9742182139184
57,2099.2588274359696
59,2133.207062554513
60,2217.872557391904
62,2002.405045024242
63,2277.6947958867695
65,2111.8141753966597
66,2007.9621674453315
70,1992.0235138061291
82,2206.2949732343964
85,2275.7712821197592
87,2217.7801201301336
92,2055.430553110464
97,2034.4403952932316
101,2220.5252000943974
102,2073.001775737676
104,2320.170759738222
107,2108.816865976402
113,2313.0648897854953
116,2209.10140537743
118,2144.2132749849998
123,2197.8570567739007
125,2312.8555382018394
131,2315.9415530695155
132,2273.4293798018807
135,2235.4283212984706
136,2278.0163309728277
140,2272.428159948758
146,2111.5548814765643
147,2052.3044223306333
149,1993.7091023372095
150,1993.232831074286
154,2317.790841383088
157,2302.927542067852
173,2336.4869284613847
176,2313.6541829615653
181,2120.120796590803
182,2114.9826143779574
183,2185.530735641904
184,2316.0913369455566
187,2132.541919833465
188,2306.5314081245942
192,2225.520805728731
203,2097.848267346807
213,2259.966097445975
214,2316.058704686452
216,2020.291696860475
219,2016.783069272126
226,1999.5661867118806
228,2078.8944377857174
231,2032.1261721931164
233,2165.5110950861776
245,2141.6265981068655
246,2060.332754367914
249,2007.8617878399368
254,2104.7661445116287
257,2169.4411020267166
260,2201.774126521694
267,2228.736154681632
268,2222.569359879803
272,2350.687971436171
273,2046.9106109468496
276,2249.60460263121
283,2313.1985648276377
284,2125.894382914973
288,2144.2706351609713
296,2316.2302749108785
299,2189.2822453637473
300,2002.1075087651075
306,2018.1726690545543
308,2023.1672800916374
313,2315.606815059579
314,2193.2721718424236
317,2270.4562270006854
322,2140.4683327679004
324,1996.1512797564412
325,2190.206158168763
333,2150.4115914949057
338,2182.3557263004486
340,2314.2409216644764
342,2116.3629326353757
351,2119.6754089638534
354,2232.994640036147
356,2171.0042293490037
359,2252.2967165855093
360,2313.3350223338475
361,2263.1771118454976
362,2163.7920468552056
364,2108.349479594214
368,2323.7794006204444
369,2253.5185696384583
371,2152.896736373602
377,2239.7979904646104
388,2095.4552801075674
390,2153.4435996282396
395,2082.1357853414024
399,2313.416079343391
404,1999.4023586573267
405,2315.9356007705196
408,2224.297686535309
414,2160.7221066288653
417,2310.8449816110847
427,2224.651349877878
428,2185.8626383203396
429,2002.4454075696688
438,2021.0957652370964
439,2000.150072097782
440,2052.0039104060033
442,2020.023846106152
453,2018.3237876871578
454,2029.1803449452698
472,2008.9794006702007
476,1997.1932181815475
483,2271.508040074032
486,2317.2844512365
491,2251.5548718745094
495,2308.3843816534986
496,2312.3070013763636
497,2273.139331265399
501,1994.0619590299907
506,2010.4060296157684
513,2013.1226473463648
518,2191.854624682546
527,2018.7041145350934
532,2028.0497919349918
536,2090.032848726677
543,2317.5883030465225
550,1984.8731018498834
552,2076.452765784432
553,2265.349533487733
556,2306.2804174547273
558,2004.6042529026936
567,2065.4213033648193
568,2020.7549956934563
570,2041.562646152929
571,2176.0511352954722
572,2005.0257055746683
575,2007.167005984414
580,2217.931512426241
582,2012.547059274644
583,2308.797551769684
585,2216.4934316631125
596,2021.1275238676667
607,2248.038264230416
613,2032.6052962735744
614,2221.617647143644
621,2006.5933113990748
623,2039.2455805687634
624,2252.1282196723255
629,2301.534891917013
640,2116.745431738465
641,2003.722335578176
644,2256.018356882705
659,2016.931974458392
663,2002.9607458545634
664,2350.5963914962404
681,2175.102302316885
687,2271.0988667847273
702,2384.0660617526732
707,2278.4653227277477
708,2012.037092561733
716,2206.9725375421895
717,2306.1380355994115
718,2012.3554309769306
720,2057.7041717633515
721,2314.3724923177842
725,2113.8832432497315
733,2007.7324232573355
751,2255.471879684739
759,2021.703014755889
761,2015.0648346680164
762,2167.0284214945136
763,2310.4839617864936
768,2256.33557274342
769,2183.437971324973
781,2037.5493091107078
782,2222.590499594526
790,2007.5591402786
795,2282.1361262761084
798,2025.132766177619
800,2008.6719564470607
802,2216.4202131430284
804,2196.303097523497
806,2058.137047758723
810,2014.3616928905092
811,2287.2046423185197
812,2009.5420330479456
816,2194.2888173098017
820,2224.069205403607
824,2307.773795218085
825,2002.3857397605018
826,2002.4457525624966
837,2045.8235327780399
838,2265.388048634667
841,2316.604855866554
843,2093.3625430770394
852,2271.625823035892
853,2224.543176240887
863,2192.669817602483
865,2317.8931229109126
869,2094.693181514619
870,2219.968883062458
871,2023.4115677969892
875,2152.0963795360185
881,2086.5495552649986
887,2099.730968610012
888,2318.7502647899364
889,2064.4689466167606
892,2274.6780810607083
899,2010.1115934745296
908,2312.1272800265924
911,2265.3773428642367
912,2253.723843626885
913,2242.9397698046205
914,1994.8464479921392
916,2012.7711970956875
917,2054.7025855250113
918,2272.614942839304
925,2008.726117403955
933,2002.7120408184924
935,2211.8834374847884
948,2282.885173792534
952,2234.84518543049
954,2226.20210269912
958,2312.111260429426
959,2233.153180807916
964,1992.5015166190658
